5, 0.1, 66.0
10, 0.1, 119.0
15, 0.1, 176.0
20, 0.1, 233.0
25, 0.1, 289.0
30, 0.1, 341.0
35, 0.1, 394.0
40, 0.1, 451.0
45, 0.1, 508.0
5, 0.2, 73.0
10, 0.2, 141.0
15, 0.2, 198.0
20, 0.2, 262.0
25, 0.2, 330.0
30, 0.2, 384.0
35, 0.2, 455.0
40, 0.2, 515.0
45, 0.2, 575.0
5, 0.3, 88.0
10, 0.3, 155.0
15, 0.3, 227.0
20, 0.3, 294.0
25, 0.3, 381.0
30, 0.3, 448.0
35, 0.3, 521.0
40, 0.3, 598.0
45, 0.3, 676.0
5, 0.4, 93.0
10, 0.4, 190.0
15, 0.4, 279.0
20, 0.4, 369.0
25, 0.4, 459.0
30, 0.4, 541.0
35, 0.4, 629.0
40, 0.4, 723.0
45, 0.4, 811.0
5, 0.5, 131.0
10, 0.5, 236.0
15, 0.5, 370.0
20, 0.5, 465.0
25, 0.5, 597.0
30, 0.5, 710.0
35, 0.5, 818.0
40, 0.5, 954.0
45, 0.5, 1041.0
5, 0.6, 158.0
10, 0.6, 318.0
15, 0.6, 523.0
20, 0.6, 650.0
25, 0.6, 847.0
30, 0.6, 1009.0
35, 0.6, 1181.0
40, 0.6, 1285.0
45, 0.6, 1453.0
5, 0.7, 264.0
10, 0.7, 529.0
15, 0.7, 797.0
20, 0.7, 1061.0
25, 0.7, 1271.0
30, 0.7, 1553.0
35, 0.7, 1800.0
40, 0.7, 2072.0
45, 0.7, 2317.0
5, 0.8, 625.0
10, 0.8, 1029.0
15, 0.8, 1628.0
20, 0.8, 2180.0
25, 0.8, 2601.0
30, 0.8, 3231.0
35, 0.8, 3802.0
40, 0.8, 4213.0
45, 0.8, 4786.0
5, 0.9, 1946.0
10, 0.9, 3832.0
15, 0.9, 5829.0
20, 0.9, 7276.0
25, 0.9, 9553.0
30, 0.9, 11467.0
35, 0.9, 13430.0
40, 0.9, 15344.0
45, 0.9, 17076.0
